,item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score
929,ITM10929,Automotive,233.0,72,8.0,3.0,49.9,4.71,0.3,L36,C,22,3.63,186.95,1.48,9,0.93,992,6.71,0.96,2024-12-28,125.02,0.539
930,ITM10930,Apparel,216.0,99,,6.0,9.85,1.05,0.65,L72,D,88,2.09,151.76,0.34,2,0.99,388,12.5,0.22,2024-03-11,,0.735
931,ITM10931,Electronics,398.0,84,3.0,9.0,2.88,5.68,0.84,L2,B,147,4.19,60.11,0.33,4,0.89,69,14.64,0.56,2024-12-25,48.92,0.772
932,ITM10932,Apparel,469.0,83,6.0,7.0,14.48,1.29,0.32,L67,B,51,2.04,,1.8,6,0.73,904,14.59,0.83,2024-01-06,142.2,0.607
933,ITM10933,Groceries,497.0,34,5.0,4.0,41.91,8.36,0.94,L25,A,178,2.04,178.88,1.66,8,0.73,713,14.73,0.93,2024-03-24,184.57,0.602
934,ITM10934,Automotive,66.0,57,,9.0,15.4,6.5,0.93,L11,D,130,1.5,79.78,0.99,4,0.93,943,12.85,0.79,2024-09-11,292.25,0.736
935,ITM10935,Electronics,186.0,52,14.0,8.0,3.79,5.79,0.28,L31,B,140,3.58,44.77,0.35,3,0.9,220,4.04,0.91,2024-06-26,83.61,0.721
936,ITM10936,Electronics,471.0,47,7.0,7.0,3.57,1.77,0.34,L93,D,25,0.84,176.19,1.81,9,0.75,265,1.8,0.23,2024-09-24,17.64,0.259
937,ITM10937,Electronics,308.0,50,8.0,2.0,21.94,3.23,0.73,L53,,53,2.13,178.17,0.54,8,0.78,917,12.36,0.28,2024-09-21,223.44,0.563
938,ITM10938,Electronics,160.0,54,4.0,6.0,46.66,5.18,0.96,L63,A,167,1.7,29.17,0.17,7,0.93,890,5.32,0.79,2024-05-12,78.2,0.658
939,ITM10939,Electronics,103.0,97,5.0,6.0,15.01,,0.74,L72,B,130,1.53,193.73,1.86,4,0.87,793,,0.8,2024-03-26,150.44,0.544
940,ITM10940,Apparel,201.0,49,13.0,3.0,21.93,2.24,0.5,L98,A,174,0.77,111.29,1.64,8,0.88,65,2.02,0.68,2024-07-09,244.39,0.415
941,ITM10941,Automotive,410.0,26,8.0,3.0,5.99,0.58,0.25,L31,,33,1.36,198.81,1.42,8,0.76,332,11.01,0.78,2024-03-05,20.72,0.553
942,ITM10942,Groceries,98.0,97,6.0,8.0,25.19,3.78,0.51,L89,D,35,2.51,94.55,0.16,0,0.89,350,7.03,0.89,,51.04,0.834
943,ITM10943,Groceries,234.0,66,11.0,2.0,35.13,5.09,0.65,L61,D,67,2.77,111.32,1.1,5,0.93,214,3.86,0.64,2024-03-01,38.47,0.555
944,ITM10944,Groceries,33.0,11,7.0,3.0,14.29,2.25,0.4,L83,C,18,1.71,60.56,1.34,4,0.97,830,10.13,0.96,2024-01-16,77.78,0.707
945,ITM10945,Groceries,234.0,71,6.0,,15.54,5.18,0.56,L92,C,135,3.43,180.8,1.54,5,0.92,740,14.72,0.76,2024-06-20,60.18,0.678
946,ITM10946,Apparel,422.0,97,4.0,3.0,42.26,3.72,0.22,L63,B,28,2.01,94.31,1.0,9,0.87,307,7.98,0.58,2024-08-07,101.81,0.516
947,ITM10947,Pharma,147.0,18,8.0,3.0,1.51,4.82,0.51,L58,B,37,2.15,164.78,1.91,2,0.9,637,9.49,0.54,2024-05-19,226.43,0.584
948,ITM10948,Automotive,329.0,77,,5.0,32.19,3.8,0.18,L3,B,144,4.02,25.15,0.57,2,0.85,666,3.28,0.8,2024-09-25,22.28,0.677
949,ITM10949,Electronics,496.0,90,4.0,2.0,20.3,6.47,0.14,L12,B,54,2.98,159.77,0.23,9,0.77,402,3.25,0.7,2024-02-02,31.39,0.534
950,ITM10950,Pharma,,26,14.0,5.0,15.62,0.91,0.87,L38,B,137,4.79,103.15,0.73,4,0.96,136,7.42,0.85,2024-05-14,173.65,0.708
951,ITM10951,Groceries,423.0,59,9.0,6.0,33.22,2.12,0.28,L29,D,103,2.12,11.03,1.36,6,0.86,876,12.83,0.82,2024-12-30,160.88,0.651
952,ITM10952,Pharma,48.0,49,5.0,5.0,41.9,4.61,0.62,L52,B,174,4.23,52.99,1.5,3,0.88,575,13.73,0.62,2024-10-22,147.48,0.673
953,ITM10953,Automotive,299.0,67,11.0,4.0,28.36,3.88,0.23,L89,C,25,3.82,46.81,1.5,5,1.0,920,9.98,0.96,2024-11-17,159.61,0.675
954,ITM10954,Electronics,,84,13.0,6.0,2.52,4.22,0.34,L32,C,14,4.51,152.84,0.31,4,1.0,994,6.05,0.76,2024-02-09,225.19,0.722
955,ITM10955,Electronics,338.0,94,7.0,3.0,23.61,8.14,0.43,L40,B,166,4.81,100.67,1.78,1,0.88,847,11.5,0.36,2024-09-11,,0.603
956,ITM10956,Automotive,221.0,30,10.0,8.0,23.68,8.92,0.23,L85,C,61,0.53,40.35,0.63,0,0.71,808,5.09,0.69,2024-08-21,142.52,0.685
957,ITM10957,Automotive,380.0,27,13.0,6.0,27.65,2.86,,L75,A,160,0.9,58.79,0.5,5,0.82,927,4.07,0.36,2024-09-18,33.71,0.54
958,ITM10958,Groceries,76.0,64,8.0,2.0,33.88,8.45,0.89,L48,D,15,3.53,105.77,1.27,4,0.98,802,12.14,0.65,2024-07-03,292.68,0.681
959,ITM10959,Electronics,411.0,38,14.0,2.0,1.95,4.86,0.11,L61,D,173,2.26,13.73,0.5,8,0.79,915,11.52,0.83,2024-01-29,79.41,0.668
960,ITM10960,Pharma,237.0,33,12.0,,25.6,3.1,0.16,L71,B,170,4.19,90.58,1.07,6,1.0,58,13.35,0.85,2024-09-12,262.06,0.721
961,ITM10961,Apparel,81.0,83,10.0,6.0,29.83,9.86,0.82,L68,A,58,0.55,138.83,0.87,0,0.73,512,9.07,0.72,2024-10-17,119.9,0.724
962,ITM10962,Apparel,176.0,26,13.0,3.0,17.82,8.34,0.35,L45,B,178,4.13,108.37,0.54,9,0.87,585,13.55,0.83,2024-03-26,208.34,0.687
963,ITM10963,Automotive,,27,14.0,2.0,33.75,9.95,0.75,L55,B,89,1.11,,0.65,5,0.85,673,1.37,0.58,2024-07-07,141.7,0.539
964,ITM10964,Groceries,,51,5.0,7.0,12.18,2.1,,L96,C,107,1.81,72.06,0.91,6,0.78,346,4.55,0.64,2024-03-21,,0.534
965,ITM10965,Apparel,341.0,93,,3.0,16.55,1.87,0.31,L71,D,116,4.86,44.78,0.76,2,0.98,266,12.26,0.9,2024-05-10,188.15,0.823
966,ITM10966,Electronics,25.0,54,7.0,7.0,48.18,5.28,0.62,L43,A,163,0.73,163.85,0.82,8,0.89,277,6.93,0.59,2024-02-22,165.47,0.546
967,ITM10967,Automotive,77.0,91,13.0,4.0,18.06,6.57,0.99,L46,C,46,2.07,182.07,1.5,1,0.77,81,4.35,0.48,2024-10-20,77.41,0.538
968,ITM10968,Pharma,344.0,26,12.0,7.0,17.98,2.13,0.17,L90,D,125,0.88,107.04,0.42,0,0.82,480,,0.84,2024-12-11,107.51,0.852
969,ITM10969,Automotive,431.0,82,5.0,9.0,30.19,8.67,0.46,L59,D,26,4.34,67.96,1.29,9,0.92,838,12.51,0.24,2024-02-29,19.97,0.49
970,ITM10970,Pharma,337.0,23,10.0,2.0,48.58,5.55,0.14,L35,B,41,3.66,107.13,1.39,9,0.79,219,7.39,0.97,2024-04-26,66.14,0.532
971,ITM10971,Automotive,188.0,58,12.0,5.0,49.17,4.4,0.28,L40,A,165,4.1,177.01,1.62,8,0.96,280,7.53,0.47,2024-09-17,107.39,0.464
972,ITM10972,Automotive,472.0,38,,4.0,29.4,6.22,0.92,L33,B,34,2.87,141.37,1.71,6,0.75,119,11.93,0.7,2024-01-02,291.92,0.558
973,ITM10973,Automotive,101.0,13,10.0,6.0,1.05,6.53,0.19,L30,C,31,2.11,173.14,0.4,9,0.78,160,11.8,0.75,2024-01-23,162.86,0.643
974,ITM10974,Pharma,493.0,91,,3.0,45.13,0.91,0.87,L16,B,70,0.51,72.39,0.36,0,0.74,138,13.13,0.31,2024-01-07,213.23,0.749
975,ITM10975,Pharma,487.0,29,14.0,2.0,28.94,10.0,0.26,L93,B,135,1.75,145.28,1.27,3,0.73,51,10.04,0.86,2024-05-05,205.34,0.665
976,ITM10976,Automotive,444.0,56,6.0,4.0,18.93,3.96,0.88,L25,D,53,2.82,134.08,1.54,9,0.79,976,3.6,0.66,2024-01-24,294.46,0.404
977,ITM10977,Apparel,,18,12.0,4.0,41.63,1.08,0.58,L41,D,111,3.49,118.61,0.62,2,1.0,105,8.7,0.46,2024-08-29,171.14,0.706
978,ITM10978,Groceries,238.0,86,3.0,9.0,20.59,8.6,,L16,C,29,1.53,,1.1,6,0.73,719,6.35,0.88,2024-07-05,179.79,0.577
979,ITM10979,Groceries,196.0,88,,2.0,2.67,9.93,0.24,L96,D,118,1.13,114.69,1.57,4,0.76,320,1.38,0.7,2024-07-15,97.02,0.473
980,ITM10980,Groceries,223.0,36,14.0,6.0,41.23,8.26,0.79,L69,D,97,1.41,171.44,1.56,8,0.78,323,3.75,0.83,2024-03-17,191.57,0.456
981,ITM10981,Pharma,90.0,24,13.0,6.0,27.75,8.59,0.71,L98,D,56,2.09,184.04,1.34,2,0.89,593,,0.99,2024-04-01,229.74,0.654
982,ITM10982,Pharma,406.0,28,6.0,5.0,17.57,6.45,0.59,L89,,60,1.17,31.44,0.25,5,0.92,319,2.15,0.3,2024-01-19,39.94,0.548
983,ITM10983,Apparel,285.0,99,12.0,8.0,13.29,9.26,0.83,L24,A,48,1.21,118.07,0.2,9,0.93,239,7.35,0.8,2024-10-10,149.24,0.644
984,ITM10984,Groceries,117.0,61,11.0,7.0,30.1,0.84,0.68,L25,C,23,0.7,184.5,0.84,1,0.7,771,8.11,0.81,2024-12-01,,0.706
985,ITM10985,Groceries,364.0,35,5.0,6.0,11.19,7.78,0.89,L28,B,30,4.36,35.6,0.15,2,0.9,532,5.76,0.9,2024-08-02,42.94,0.782
986,ITM10986,Automotive,310.0,98,4.0,9.0,16.87,6.87,0.44,L95,C,152,1.49,88.44,1.82,3,0.89,357,6.77,0.53,2024-04-24,108.97,0.532
987,ITM10987,Pharma,227.0,35,11.0,5.0,32.19,0.97,0.63,L62,B,109,4.2,26.93,0.14,5,0.86,71,8.69,0.9,2024-06-13,165.2,0.754
988,ITM10988,Groceries,21.0,35,11.0,7.0,44.2,5.67,0.88,L36,C,106,2.47,31.56,0.16,0,0.81,63,2.69,0.71,2024-05-07,198.46,0.724
989,ITM10989,Apparel,143.0,55,3.0,4.0,27.11,,0.29,L93,D,10,3.35,181.78,0.41,5,0.94,535,8.87,0.26,2024-08-01,93.78,0.617
990,ITM10990,Apparel,299.0,58,8.0,2.0,38.2,7.07,0.54,L76,C,118,0.84,94.77,1.29,3,0.8,767,10.94,0.23,2024-06-12,148.13,0.563
991,ITM10991,Groceries,93.0,91,12.0,6.0,38.39,1.24,0.96,L98,A,91,3.13,140.86,1.13,7,0.77,595,13.25,0.59,2024-05-18,222.88,0.596
992,ITM10992,Pharma,185.0,62,,5.0,33.55,,0.53,L68,C,147,1.8,36.39,1.35,8,0.79,903,5.22,0.83,2024-02-09,132.45,0.499
993,ITM10993,Apparel,41.0,12,5.0,4.0,13.05,1.82,0.33,L77,A,160,0.93,14.17,1.8,7,0.83,513,,0.51,2024-10-19,282.82,0.501
994,ITM10994,Automotive,173.0,75,13.0,6.0,43.47,4.48,0.42,L37,C,27,4.59,179.19,0.96,7,0.76,617,9.48,0.88,2024-07-09,18.9,0.618
995,ITM10995,Apparel,446.0,51,11.0,3.0,22.38,8.87,0.9,L13,D,67,3.22,119.16,0.18,1,0.88,801,8.04,0.59,2024-03-02,85.47,0.763
996,ITM10996,Electronics,458.0,28,,8.0,3.17,5.83,0.96,L25,C,135,1.59,13.8,1.55,9,0.97,998,13.87,0.22,2024-09-14,48.68,0.488
997,ITM10997,Electronics,314.0,26,8.0,4.0,12.99,4.11,,L38,B,82,2.39,198.54,1.64,1,0.88,482,9.68,0.98,2024-12-10,166.97,0.717
998,ITM10998,Pharma,238.0,42,3.0,9.0,38.51,0.96,0.73,L30,D,119,2.11,,0.19,5,0.83,624,6.12,0.59,2024-01-27,61.44,0.647
999,ITM10999,Groceries,176.0,85,,9.0,4.39,6.89,0.56,L47,,61,3.65,100.42,0.56,4,0.94,449,10.98,0.72,2024-04-01,225.13,0.742
1000,ITM11000,Pharma,249.0,58,,6.0,8.22,9.87,,L23,B,55,3.23,127.97,1.56,5,0.92,641,14.44,0.36,2024-04-24,276.32,0.593
1001,ITM11001,Pharma,39.0,65,9.0,9.0,35.02,9.16,0.21,L39,D,116,0.59,11.5,0.81,8,0.81,601,13.85,0.44,2024-09-21,70.09,0.594
1002,ITM11002,Pharma,494.0,72,6.0,4.0,44.74,7.31,0.15,L2,D,22,1.39,118.14,1.0,9,0.88,855,14.72,0.59,2024-01-24,272.96,0.61
1003,ITM11003,Pharma,60.0,12,11.0,2.0,32.05,1.5,,L91,B,105,2.65,129.6,1.66,6,0.92,963,2.33,0.88,2024-07-24,193.21,0.505
1004,ITM11004,Automotive,,58,7.0,2.0,11.89,2.77,0.89,L69,D,26,2.5,66.42,0.28,4,0.77,328,7.21,0.28,2024-02-05,66.89,0.598
1005,ITM11005,Automotive,167.0,64,5.0,8.0,3.62,2.28,0.83,L17,D,76,2.83,148.1,1.39,9,0.81,817,7.06,0.82,2024-08-26,223.6,0.501
1006,ITM11006,Apparel,127.0,35,10.0,2.0,31.14,3.88,0.61,L36,D,70,3.72,81.71,0.51,6,0.73,159,6.37,0.66,2024-05-24,36.35,0.592
1007,ITM11007,Electronics,422.0,81,8.0,7.0,3.32,2.74,1.0,L6,D,74,3.57,146.38,0.22,7,1.0,97,3.5,0.6,2024-06-08,210.72,0.605
1008,ITM11008,Pharma,103.0,61,4.0,3.0,31.02,2.82,0.96,L7,C,142,2.18,37.33,1.36,0,0.73,793,12.65,0.9,2024-06-16,259.77,0.759
1009,ITM11009,Apparel,386.0,16,5.0,2.0,12.05,6.36,,L71,D,169,4.45,,0.33,9,0.75,131,10.42,0.29,2024-02-14,285.61,0.534
1010,ITM11010,Electronics,341.0,55,10.0,9.0,45.33,3.53,0.52,L38,D,98,0.78,177.1,1.52,6,0.84,735,9.48,0.99,2024-10-10,25.81,0.62
1011,ITM11011,Groceries,433.0,55,12.0,3.0,24.28,6.93,0.24,L90,D,65,3.13,38.62,0.49,3,0.96,674,7.26,0.88,2024-08-21,27.96,0.756
1012,ITM11012,Automotive,328.0,25,9.0,2.0,11.97,9.5,0.56,L17,C,14,4.77,188.31,0.19,4,0.81,327,6.44,0.46,2024-01-05,279.82,0.641
1013,ITM11013,Electronics,309.0,33,12.0,7.0,42.8,6.57,0.24,L82,A,110,2.97,115.98,0.29,1,0.93,430,12.01,0.56,2024-07-07,238.98,0.809
1014,ITM11014,Groceries,425.0,70,8.0,9.0,13.45,7.64,0.46,L97,D,96,2.55,143.31,1.7,9,0.9,359,8.38,0.22,2024-04-12,234.54,0.386
1015,ITM11015,Electronics,342.0,63,3.0,4.0,16.02,,0.95,L63,A,171,1.1,169.66,0.8,4,0.89,601,9.51,0.62,2024-05-29,225.36,0.669
1016,ITM11016,Automotive,153.0,71,11.0,6.0,41.88,3.64,0.41,L14,A,70,4.15,25.88,0.67,8,0.95,591,2.4,0.64,2024-10-15,218.03,0.523
1017,ITM11017,Automotive,,10,5.0,6.0,16.13,0.64,,L2,B,78,2.18,42.16,1.03,0,0.7,816,7.6,0.94,2024-06-04,187.83,0.726
1018,ITM11018,Apparel,302.0,58,7.0,2.0,21.1,1.02,0.62,L74,B,72,3.66,65.17,1.3,2,0.98,289,2.82,0.51,2024-11-14,245.69,0.566
1019,ITM11019,Pharma,285.0,34,9.0,6.0,18.04,3.18,0.64,L37,,53,1.39,100.67,0.17,3,0.95,232,1.75,0.66,2024-05-04,19.91,0.668
1020,ITM11020,Electronics,92.0,19,9.0,2.0,6.7,7.05,0.27,L61,C,37,0.69,75.75,1.81,8,0.98,233,10.65,0.79,2024-08-25,224.69,0.555
1021,ITM11021,Electronics,371.0,89,5.0,2.0,2.91,9.11,0.28,L62,D,22,1.87,106.11,1.92,1,0.94,603,4.85,0.69,2024-07-07,179.05,0.579
1022,ITM11022,Groceries,67.0,25,6.0,9.0,36.5,9.61,0.99,L57,D,39,1.77,45.32,0.89,6,0.96,987,14.51,0.32,2024-10-29,273.16,0.64
1023,ITM11023,Automotive,345.0,67,12.0,,32.61,0.75,0.32,L44,D,163,4.43,139.61,0.88,8,0.76,515,9.48,0.34,2024-09-09,281.55,0.498
1024,ITM11024,Electronics,252.0,81,9.0,5.0,14.84,9.91,0.85,L24,B,72,4.39,20.59,1.77,9,0.8,688,10.03,0.31,2024-04-10,79.99,0.399
1025,ITM11025,Automotive,462.0,38,10.0,5.0,15.48,3.56,0.52,L7,B,82,2.9,78.68,0.92,3,0.79,486,3.76,0.37,2024-10-06,238.94,0.53
1026,ITM11026,Electronics,119.0,15,4.0,,47.31,8.51,0.49,L33,D,66,0.59,44.02,1.73,4,0.73,643,2.8,0.46,2024-05-05,287.53,0.422
1027,ITM11027,Apparel,78.0,25,11.0,5.0,49.4,2.21,0.37,L62,A,73,1.53,148.69,0.15,9,0.92,282,8.36,0.79,2024-03-18,87.33,0.658
1028,ITM11028,Pharma,277.0,29,9.0,3.0,24.2,1.1,,L15,B,61,3.38,177.89,1.03,3,0.74,870,13.96,0.25,2024-01-04,256.81,0.621
1029,ITM11029,Electronics,432.0,89,10.0,5.0,40.32,4.09,0.89,L9,D,72,0.96,24.97,1.91,6,0.72,753,1.78,0.86,2024-07-28,180.09,0.429
1030,ITM11030,Automotive,471.0,80,8.0,2.0,37.1,8.66,0.34,L52,A,150,3.65,159.16,0.58,7,0.93,50,8.11,0.41,2024-01-13,124.55,0.578
1031,ITM11031,Apparel,84.0,87,8.0,7.0,15.57,2.6,0.19,L63,D,102,0.55,180.19,0.61,7,0.97,554,3.78,0.69,2024-04-29,248.85,0.581
1032,ITM11032,Electronics,102.0,52,11.0,7.0,3.87,1.96,0.22,L10,B,116,3.57,195.05,1.3,2,0.93,411,11.95,0.64,2024-10-04,262.39,0.703
1033,ITM11033,Groceries,173.0,35,6.0,4.0,7.99,9.14,0.81,L74,C,118,4.3,120.08,1.86,1,0.95,768,10.55,0.32,2024-06-26,91.97,0.589
1034,ITM11034,Pharma,492.0,99,13.0,9.0,42.08,9.41,0.49,L81,C,97,2.61,72.2,0.48,5,0.88,758,2.36,0.43,2024-11-21,240.39,0.545
1035,ITM11035,Electronics,285.0,87,13.0,5.0,36.83,0.62,0.22,L88,B,54,4.23,,1.85,0,0.97,332,9.63,0.44,2024-12-21,24.4,0.625
1036,ITM11036,Apparel,,80,7.0,7.0,33.55,7.41,0.41,L7,A,117,4.02,82.0,1.36,8,0.85,578,14.77,0.7,2024-01-05,131.12,0.611
1037,ITM11037,Groceries,98.0,42,11.0,5.0,7.4,3.44,0.56,L20,D,55,3.52,126.41,1.99,6,1.0,880,8.39,0.83,2024-06-20,30.24,0.559
1038,ITM11038,Apparel,334.0,35,3.0,9.0,32.36,4.06,0.87,L20,B,86,2.5,103.14,1.5,7,0.73,945,5.0,1.0,2024-01-01,95.21,0.523
1039,ITM11039,Apparel,169.0,54,6.0,4.0,38.84,4.96,0.68,L73,A,178,1.72,134.19,1.37,6,0.94,218,3.13,0.28,2024-12-02,285.61,0.429
1040,ITM11040,Groceries,,93,9.0,7.0,43.17,4.55,0.26,L39,D,55,4.37,17.47,1.65,4,0.89,938,14.85,0.95,2024-07-11,223.07,0.721
1041,ITM11041,Apparel,67.0,72,13.0,2.0,1.65,5.39,,L11,D,138,3.42,30.12,0.43,4,0.87,235,8.89,0.65,2024-06-06,229.12,0.7
1042,ITM11042,Groceries,,76,11.0,3.0,34.54,6.03,0.47,L32,B,101,4.09,195.54,1.9,6,0.92,171,6.25,0.49,2024-02-23,49.0,0.455
1043,ITM11043,Electronics,398.0,61,13.0,8.0,1.94,4.92,0.17,L16,D,21,2.98,199.12,0.41,6,0.95,490,4.0,0.43,2024-04-15,177.82,0.568
1044,ITM11044,Groceries,267.0,77,14.0,,35.64,,0.78,L72,C,97,1.27,151.87,0.15,1,0.96,785,14.3,0.37,2024-09-28,122.76,0.822
1045,ITM11045,Groceries,297.0,35,12.0,8.0,32.15,7.33,0.46,L98,C,82,4.91,58.72,1.43,1,0.75,688,9.78,0.65,,222.91,0.647
1046,ITM11046,Pharma,375.0,84,8.0,5.0,8.27,4.68,0.41,L54,D,172,1.32,191.14,0.45,6,0.76,727,1.81,0.96,2024-08-02,55.55,0.603
1047,ITM11047,Groceries,117.0,11,14.0,7.0,38.54,1.85,0.56,L78,B,111,4.6,50.6,1.54,4,0.7,523,1.83,0.35,,91.76,0.4
1048,ITM11048,Groceries,433.0,23,10.0,9.0,4.35,6.59,0.74,L77,D,108,1.44,148.97,1.61,1,0.74,171,14.15,0.55,2024-01-31,270.59,0.666
1049,ITM11049,Electronics,44.0,39,11.0,,41.49,7.84,0.61,L80,B,170,2.18,31.9,0.55,0,0.78,883,10.94,0.36,2024-03-13,59.24,0.719
1050,ITM11050,Pharma,,58,,7.0,13.83,6.56,0.82,L29,B,67,2.48,133.29,0.26,8,0.92,781,2.45,0.34,2024-12-30,193.4,0.499
1051,ITM11051,Automotive,468.0,21,6.0,4.0,34.75,6.09,0.67,L100,C,137,4.65,154.31,1.05,7,0.84,990,9.73,0.89,2024-05-23,101.39,0.631
1052,ITM11052,Electronics,388.0,99,3.0,2.0,46.26,2.68,0.81,L67,C,126,4.5,173.33,1.79,1,0.93,840,6.87,0.41,2024-02-17,33.75,0.561
1053,ITM11053,Electronics,320.0,53,10.0,6.0,17.65,6.63,0.73,L49,A,44,4.2,149.52,1.71,1,0.85,709,12.04,0.4,2024-01-23,74.87,0.62
1054,ITM11054,Automotive,87.0,42,4.0,7.0,25.64,3.68,0.27,L58,B,93,2.2,185.46,0.32,2,0.87,341,4.83,0.93,2024-04-28,262.13,0.752
1055,ITM11055,Groceries,26.0,22,13.0,3.0,23.69,9.24,0.15,L57,D,75,0.52,108.98,1.93,3,0.73,987,6.36,0.51,2024-09-23,274.06,0.48
1056,ITM11056,Apparel,324.0,87,3.0,4.0,8.72,6.71,0.91,L39,B,35,3.57,138.71,0.6,8,0.93,296,3.34,0.21,2024-07-30,131.75,0.453
1057,ITM11057,Pharma,156.0,97,9.0,7.0,29.93,3.14,0.95,L76,C,51,2.35,80.21,0.76,5,0.93,967,4.53,0.78,2024-12-24,190.06,0.626
1058,ITM11058,Apparel,183.0,35,14.0,7.0,37.41,4.99,0.75,L55,B,86,3.91,11.97,0.38,2,0.79,237,3.65,0.61,2024-07-09,160.94,0.651
1059,ITM11059,Automotive,102.0,30,12.0,4.0,45.93,8.54,0.75,L40,A,39,4.08,153.77,0.82,7,0.8,572,1.34,0.82,2024-08-22,91.11,0.52
1060,ITM11060,Electronics,404.0,37,11.0,4.0,42.69,,0.34,L73,D,125,2.48,175.27,1.31,5,0.77,333,1.65,0.66,2024-02-13,109.99,0.477
1061,ITM11061,Electronics,157.0,57,13.0,5.0,25.99,5.49,0.59,L80,B,169,3.87,43.05,1.06,7,0.94,606,12.7,0.48,2024-10-24,162.78,0.607
1062,ITM11062,Pharma,439.0,49,14.0,7.0,36.23,6.96,0.99,L8,D,45,4.28,15.44,1.67,9,0.92,173,12.25,0.25,2024-02-18,211.65,0.45
1063,ITM11063,Electronics,92.0,75,14.0,6.0,40.24,7.67,,L79,D,28,4.68,41.26,1.32,1,0.88,939,2.97,0.89,2024-09-15,111.46,0.642
1064,ITM11064,Electronics,256.0,82,11.0,3.0,25.18,2.15,0.37,L95,C,31,3.12,180.1,0.6,7,0.77,296,10.35,0.37,2024-03-09,212.69,0.566
1065,ITM11065,Pharma,65.0,96,5.0,2.0,6.66,5.87,0.37,L13,B,74,4.0,66.15,1.16,4,0.75,455,11.44,0.98,2024-11-22,288.68,0.703
1066,ITM11066,Pharma,125.0,88,8.0,2.0,22.46,9.17,0.54,L98,D,66,2.73,54.4,0.22,9,0.72,386,1.72,0.4,2024-07-20,17.12,0.445
1067,ITM11067,Automotive,435.0,86,9.0,,42.28,9.7,0.46,L27,C,20,0.69,12.77,1.2,3,0.71,208,2.24,0.86,2024-02-08,57.51,0.564
1068,ITM11068,Electronics,307.0,32,12.0,9.0,30.24,6.73,0.43,L81,A,35,1.2,66.44,0.84,2,0.76,316,8.88,0.83,2024-10-30,,0.712
1069,ITM11069,Electronics,281.0,90,11.0,4.0,36.5,9.84,0.66,L28,A,28,1.08,145.97,0.29,8,0.73,341,6.24,0.57,2024-10-17,30.76,0.554
1070,ITM11070,Automotive,195.0,57,4.0,4.0,10.08,5.92,0.11,L34,B,92,1.27,192.23,0.68,9,0.87,639,10.79,0.52,2024-02-01,231.86,0.574
1071,ITM11071,Groceries,185.0,11,10.0,9.0,48.25,4.7,0.79,L85,D,149,0.55,69.42,1.81,6,0.81,852,8.81,0.76,2024-08-10,190.95,0.53
1072,ITM11072,Groceries,164.0,93,,4.0,20.8,5.74,0.77,L11,B,76,4.36,55.73,1.21,6,0.83,944,1.43,0.62,2024-12-05,23.83,0.468
1073,ITM11073,Groceries,349.0,29,6.0,9.0,33.03,1.6,0.85,L21,D,65,3.02,178.73,1.82,5,0.88,200,10.57,0.71,2024-03-07,10.21,0.577
1074,ITM11074,Automotive,389.0,68,4.0,7.0,1.92,4.32,0.86,L31,,27,2.22,171.98,0.88,8,0.9,334,3.85,0.58,2024-05-01,155.58,0.499
1075,ITM11075,Electronics,302.0,55,10.0,9.0,7.24,4.85,0.61,L23,A,122,2.34,72.35,1.96,2,0.89,200,5.38,0.65,2024-05-29,44.03,0.544
1076,ITM11076,Automotive,73.0,12,13.0,4.0,39.32,8.56,0.8,L71,A,14,2.59,23.07,0.78,0,0.78,173,11.31,0.35,2024-05-13,262.94,0.699
1077,ITM11077,Automotive,197.0,64,7.0,4.0,48.43,7.71,0.54,L10,A,121,0.83,198.48,1.54,6,0.94,789,11.8,0.24,2024-06-10,149.42,0.519
1078,ITM11078,Groceries,438.0,21,,7.0,16.68,6.21,0.96,L21,A,161,1.74,139.33,0.68,8,0.98,321,5.84,0.48,,77.99,0.542
1079,ITM11079,Apparel,263.0,49,13.0,9.0,2.82,3.8,0.27,L1,B,124,4.33,186.05,0.3,5,0.79,920,2.25,0.57,2024-12-24,58.78,0.572
1080,ITM11080,Electronics,360.0,75,9.0,7.0,18.68,2.28,0.92,L53,D,175,3.85,74.96,1.68,9,0.71,389,11.78,0.92,2024-06-16,252.37,0.535
1081,ITM11081,Groceries,146.0,87,12.0,6.0,1.86,3.8,0.33,L58,B,76,3.04,133.06,1.55,1,0.97,778,13.18,0.53,2024-06-11,218.43,0.701
1082,ITM11082,Apparel,428.0,25,3.0,5.0,10.43,6.96,0.19,L89,C,79,2.66,138.15,1.66,7,0.98,708,14.5,0.55,2024-08-19,218.21,0.593
1083,ITM11083,Apparel,431.0,92,,7.0,37.87,3.0,0.5,L77,A,61,1.67,175.85,0.67,8,0.72,779,5.45,0.74,2024-05-19,34.74,0.538
1084,ITM11084,Pharma,386.0,43,6.0,3.0,46.92,4.56,0.65,L61,,136,2.62,198.68,1.44,9,0.7,657,,0.37,2024-04-29,191.11,0.326
